               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.2677,              1.5263,              1.4585,             0.67093,             0.80361,             0.76892,             0.59174,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.2629,              1.5343,              1.4449,             0.75863,             0.85407,             0.83123,             0.69237,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.2414,              1.5152,              1.4365,             0.74334,             0.83511,             0.82603,             0.69366,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.2631,              1.5073,              1.4545,             0.77112,             0.87418,             0.87351,             0.73401,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.2538,               1.458,              1.4357,             0.70172,             0.81916,             0.79113,             0.64517,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.2445,              1.4517,              1.4282,             0.68358,             0.79539,             0.75985,             0.63447,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.2711,              1.4788,               1.447,             0.58329,             0.82765,             0.71418,             0.52598,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.2415,              1.4387,              1.4302,             0.73387,             0.85926,             0.87011,             0.72347,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.2281,              1.4271,              1.4183,              0.7415,             0.84895,             0.81864,              0.6619,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.2058,              1.4484,              1.4065,             0.81887,             0.87533,              0.8936,             0.74782,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.2213,              1.4582,              1.4305,              0.7937,             0.87637,             0.88278,              0.7391,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.2424,              1.4503,              1.4297,             0.80606,             0.85686,             0.85493,             0.69711,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.2017,              1.4222,              1.4288,             0.50739,             0.78754,             0.61505,             0.42703,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.1993,              1.4383,              1.4028,             0.75818,               0.822,             0.82411,              0.6575,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,               1.191,               1.391,              1.3971,             0.72982,             0.80284,             0.83851,             0.66809,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.1761,              1.3801,              1.4111,             0.74707,             0.82233,             0.83326,             0.71016,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.1982,              1.3974,              1.4067,             0.77339,             0.86531,             0.87502,             0.71722,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.1853,              1.3945,              1.4079,             0.57105,             0.82437,             0.68823,             0.52248,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
